checking-status,duration,credit-history,purpose,amount,savings,employment,rate,sex-status,guarantors,residence,property,age,installment,housing,num-credits,job,liable,phone,foreign,good-credit
0,6,0,0,1169,0,1,1,0,0,1,0,67,1,1,0,1,0,1,0,1
1,48,1,0,5951,0,1,0,0,0,0,0,22,1,1,0,1,0,0,0,0
0,12,0,1,2096,0,1,0,0,0,1,0,49,1,1,0,0,1,0,0,1
0,42,1,0,7882,0,1,0,0,1,1,0,45,1,0,0,1,1,0,0,1
0,24,0,0,4870,0,1,1,0,0,1,1,53,1,0,0,1,1,0,0,0
0,36,1,1,9055,0,1,0,0,0,1,1,35,1,0,0,0,1,1,0,1
0,24,1,0,2835,1,1,1,0,0,1,0,53,1,1,0,1,0,0,0,1
1,36,1,0,6948,0,1,0,0,0,0,1,35,1,0,0,1,0,1,0,1
0,12,1,0,3059,1,1,0,0,0,1,0,61,1,1,0,0,0,0,0,1
1,30,0,0,5234,0,0,1,1,0,0,1,28,1,1,0,1,0,0,0,0
1,12,1,0,1295,0,0,1,0,0,0,1,25,1,0,0,1,0,0,0,0
0,48,1,1,4308,0,0,1,0,0,1,0,24,1,0,0,1,0,0,0,0
1,12,1,0,1567,0,1,0,0,0,0,1,22,1,1,0,1,0,1,0,1
0,24,0,0,1199,0,1,1,0,0,1,1,60,1,1,0,0,0,0,0,0
0,15,1,0,1403,0,1,0,0,0,1,1,28,1,0,0,1,0,0,0,1
0,24,1,0,1282,1,1,1,0,0,0,1,32,1,1,0,0,0,0,0,0
0,24,0,0,2424,0,1,1,0,0,1,0,53,1,1,0,1,0,0,0,1
0,30,1,1,8072,0,0,0,0,0,1,1,25,0,1,1,1,0,0,0,1
1,24,1,0,12579,0,1,1,0,0,0,1,44,1,0,0,1,0,1,0,0
0,24,1,0,3430,1,1,1,0,0,0,1,31,1,1,0,1,1,1,0,1
0,9,0,0,2134,0,1,1,0,0,1,1,48,1,1,1,1,0,1,0,1
0,6,1,0,2647,1,1,0,0,0,1,0,44,1,0,0,1,1,0,0,1
0,10,0,0,2241,0,0,0,0,0,1,0,48,1,0,0,0,1,0,1,1
1,12,0,0,1804,1,0,1,0,0,1,0,44,1,1,0,1,0,0,0,1
0,10,0,0,2069,0,1,0,1,0,0,1,26,1,1,0,1,0,0,1,1
0,6,1,0,1374,0,1,0,0,0,0,0,36,0,1,0,0,0,1,0,1
0,6,1,0,426,0,1,1,1,0,1,1,39,1,1,0,0,0,0,0,1
1,12,1,0,409,1,1,1,0,0,1,0,42,1,0,0,1,0,0,0,1
1,7,1,0,2415,0,1,1,0,1,0,0,34,1,1,0,1,0,0,0,1
0,60,0,1,6836,0,1,1,0,0,1,1,63,1,1,0,1,0,1,0,0
1,18,1,1,1913,1,0,1,1,0,1,0,36,0,1,0,1,0,1,0,1
0,24,1,0,4020,0,1,0,0,0,0,1,27,1,1,0,1,0,0,0,1
1,18,1,0,5866,1,1,0,0,0,0,1,30,1,1,0,1,0,1,0,1
0,12,0,1,1264,0,1,1,0,0,1,1,57,1,0,0,0,0,0,0,1
1,12,1,0,1474,0,0,1,0,0,0,0,33,0,1,0,1,0,1,0,1
1,45,0,0,4746,0,0,1,0,0,0,0,25,1,1,0,0,0,0,0,0
0,48,0,1,6110,0,1,0,0,0,1,1,31,0,0,0,1,0,1,0,1
1,18,1,0,2100,0,1,1,0,1,0,0,37,1,1,0,1,0,0,0,0
1,10,1,0,1225,0,1,0,0,0,0,1,37,1,1,0,1,0,1,0,1
1,9,1,0,458,0,1,1,0,0,1,0,24,1,1,0,1,0,0,0,1
0,30,1,0,2333,1,1,1,0,0,0,1,30,0,1,0,1,0,0,0,1
1,12,1,0,1158,1,1,1,0,0,0,1,26,1,1,0,1,0,1,0,1
1,18,0,1,6204,0,1,0,0,0,1,0,44,1,1,0,0,1,1,0,1
0,30,0,0,6187,1,1,0,1,0,1,1,24,1,0,0,1,0,0,0,1
0,48,0,0,6143,0,1,1,0,0,1,1,58,1,0,0,0,0,0,0,0
0,11,0,0,1393,0,0,1,0,0,1,1,35,1,1,0,1,0,0,0,1
